time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.34,0.34500000000000003,0.3426666666666667,0.343,0.0013915846853526164,0.128,0.131,0.12954999999999997,0.1295,0.0007399324293474378,5.448,5.514,5.4574,5.4510000000000005,0.018456435192094913,0.253,0.258,0.25584999999999997,0.256,0.0013518505834595788,1.937,1.961,1.94075,1.939,0.006774031296059998,8.247,8.346,8.25775,8.248,0.029258972982659746,0.398,0.4,0.3982,0.398,0.0006000000000000006,8.08,8.173,8.0915,8.083,0.027047180999135625,0.246,0.25,0.2474,0.247,0.0011135528725660054,64,64,8192,36864,50272,False,3488,1
0.343,0.358,0.34838095238095235,0.34700000000000003,0.0037477128323716064,0.129,0.131,0.12995,0.13,0.0006689544080129831,5.317,5.571,5.415049999999999,5.406,0.06563267098023656,0.254,0.261,0.25770000000000004,0.258,0.0017058722109231997,1.7590000000000001,1.845,1.7943499999999997,1.7895,0.02200971376460854,7.962,8.35,8.108600000000001,8.098,0.09248318766132566,0.396,0.40700000000000003,0.40020000000000006,0.3995,0.002357965224510321,8.131,8.588000000000001,8.3166,8.286999999999999,0.1262804022800055,0.241,0.244,0.24225,0.242,0.0008874119674649433,64,64,8192,36864,50272,False,3456,1
0.34,0.34800000000000003,0.3440952380952381,0.34500000000000003,0.0024281045302822807,0.127,0.13,0.12835000000000002,0.128,0.0007262919523166982,5.307,5.495,5.402500000000001,5.4085,0.05366516561047771,0.253,0.258,0.25549999999999995,0.255,0.0013228756555322965,1.7570000000000001,1.82,1.7922499999999997,1.7995,0.017812565789352162,7.952,8.233,8.102149999999998,8.135,0.08233120611287063,0.392,0.398,0.39580000000000004,0.397,0.001860107523773829,8.014,8.419,8.180449999999999,8.171,0.11335231581225008,0.24,0.243,0.24099999999999996,0.241,0.0008366600265340763,64,64,8192,36864,50272,False,3424,1
0.336,0.363,0.34238095238095245,0.34,0.0066223013585495006,0.126,0.132,0.12755,0.127,0.0014991664350564964,5.303,5.845,5.4246500000000015,5.402,0.13068751853180163,0.25,0.264,0.25390000000000007,0.253,0.0039736632972611095,1.747,1.964,1.8032999999999997,1.7905000000000002,0.055024630848375514,7.924,8.874,8.161950000000001,8.091999999999999,0.24465495600947887,0.388,0.41400000000000003,0.39385,0.392,0.006958986995245794,8.017,8.94,8.227900000000002,8.171500000000002,0.20785112460605057,0.23700000000000002,0.24,0.23835000000000006,0.23800000000000002,0.0008529361054615945,64,64,8192,36864,50272,False,3392,1
0.333,0.34500000000000003,0.33799999999999997,0.337,0.0032071349029490956,0.125,0.127,0.12624999999999997,0.126,0.0005361902647381809,5.292,5.496,5.38525,5.3635,0.05059631903607232,0.247,0.254,0.2504,0.25,0.0019595917942265445,1.768,1.821,1.7864,1.778,0.016454178800535704,7.852,8.235,8.068999999999999,8.035499999999999,0.08711199687758282,0.383,0.393,0.38845,0.388,0.0023339880033967633,7.917,8.228,8.07065,8.0465,0.0856465264911542,0.23600000000000002,0.23800000000000002,0.23634999999999998,0.23600000000000002,0.0006538348415311017,64,64,8192,36864,50272,False,3360,1
0.324,0.33,0.32633333333333336,0.326,0.001458418364867959,0.122,0.125,0.12375000000000003,0.124,0.0006982120021884477,5.208,5.211,5.2094000000000005,5.2090000000000005,0.0009695359714832049,0.24,0.244,0.2419,0.242,0.0011357816691600557,1.727,1.729,1.7279499999999999,1.728,0.0007399324293474345,7.6080000000000005,7.612,7.609850000000002,7.61,0.001013656746635633,0.38,0.381,0.38004999999999994,0.38,0.0002179449471770339,7.572,7.5760000000000005,7.573700000000002,7.574,0.0008426149773175695,0.234,0.23800000000000002,0.23530000000000006,0.23500000000000001,0.0009000000000000007,64,64,8192,36864,50272,False,3328,1
0.321,0.332,0.3242380952380952,0.323,0.002688684612093927,0.122,0.124,0.12300000000000003,0.123,0.0003162277660168382,5.207,5.332,5.2208499999999995,5.208500000000001,0.03656538663818545,0.23800000000000002,0.242,0.23975,0.24,0.001134680571791011,1.727,1.768,1.7319000000000002,1.728,0.011894956914592001,7.6080000000000005,7.784,7.625250000000001,7.609500000000001,0.0478590378089655,0.376,0.38,0.37645,0.376,0.0009733961166965902,7.572,7.7490000000000006,7.59025,7.574,0.043288422239670596,0.232,0.234,0.23235,0.232,0.0005722761571129803,64,64,8192,36864,50272,False,3296,1
0.318,0.338,0.32152380952380955,0.321,0.003959546001140462,0.12,0.124,0.12149999999999998,0.121,0.0008660254037844395,5.147,5.556,5.215649999999999,5.208,0.08333323166660465,0.23500000000000001,0.246,0.23725000000000004,0.23700000000000002,0.002299456457513379,1.705,1.849,1.7302,1.727,0.028997586106433056,7.517,8.184000000000001,7.623750000000001,7.609,0.13552781079911255,0.37,0.388,0.37324999999999997,0.373,0.0035478866949213614,7.482,8.211,7.6057500000000005,7.574,0.1689185824591244,0.229,0.232,0.22975000000000004,0.23,0.0008291561975888507,64,64,8192,36864,50272,False,3264,1
0.312,0.322,0.31733333333333336,0.317,0.002167582224141153,0.11900000000000001,0.123,0.12090000000000001,0.121,0.0009433981132056598,5.132,5.23,5.2075000000000005,5.208,0.01878962479667976,0.233,0.23700000000000002,0.23485,0.23500000000000001,0.0011079259903080177,1.705,1.741,1.72835,1.728,0.007538401687360543,7.446,7.674,7.607500000000002,7.6080000000000005,0.04495052836174464,0.366,0.37,0.36879999999999996,0.369,0.0008717797887081354,7.458,7.635,7.574249999999999,7.574,0.03446719454785954,0.226,0.229,0.2273,0.227,0.0007141428428542857,64,64,8192,36864,50272,False,3232,1
0.31,0.317,0.31390476190476196,0.314,0.0015400915836948801,0.11900000000000001,0.121,0.11950000000000002,0.11900000000000001,0.0005916079783099557,4.936,5.09,4.99265,4.9945,0.02987352506819374,0.231,0.23700000000000002,0.2326,0.2325,0.001280624847486571,1.706,1.79,1.72845,1.727,0.015454691844226466,7.296,7.65,7.384450000000001,7.382000000000001,0.0670287065368265,0.362,0.371,0.3646,0.3645,0.0016852299546352733,7.482,7.846,7.573500000000001,7.573,0.07036369802675232,0.224,0.226,0.22435000000000005,0.224,0.0006538348415311016,64,64,8192,36864,50272,False,3200,1
