time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.046,0.056,0.055285714285714285,0.056,0.0021189138534559037,0.02,0.021,0.020950000000000003,0.021,0.00021794494717703385,0.155,0.156,0.15564999999999998,0.156,0.00047696960070847325,0.014,0.015,0.014050000000000002,0.014,0.00021794494717703353,0.091,0.094,0.09230000000000001,0.092,0.0006403124237432856,0.021,0.022,0.0211,0.021,0.00029999999999999927,0.728,0.732,0.7306999999999999,0.731,0.001100000000000001,0.058,0.058,0.05800000000000001,0.058,6.938893903907228e-18,0.673,0.678,0.6754000000000001,0.676,0.001392838827718413,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,32,16,4096,36864,256128,False,928,2
0.045,0.056,0.05442857142857144,0.055,0.002194613070819603,0.02,0.021,0.020900000000000005,0.021,0.0003000000000000003,0.154,0.154,0.15399999999999997,0.154,2.7755575615628914e-17,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.09,0.091,0.09065,0.091,0.00047696960070847314,0.021,0.021,0.021000000000000005,0.021,3.469446951953614e-18,0.72,0.722,0.72065,0.721,0.0005722761571129803,0.057,0.057,0.056999999999999995,0.057,6.938893903907228e-18,0.666,0.667,0.6664000000000001,0.666,0.000489897948556636,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,32,16,4096,36864,256128,False,920,2
0.044,0.056,0.05395238095238095,0.054,0.002319199173692557,0.02,0.021,0.020850000000000004,0.021,0.00035707142142714284,0.155,0.156,0.1559,0.156,0.00030000000000000024,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.092,0.093,0.09230000000000001,0.092,0.0004582575694955844,0.021,0.021,0.021000000000000005,0.021,3.469446951953614e-18,0.73,0.732,0.73085,0.731,0.00047696960070847325,0.056,0.057,0.05685,0.057,0.00035707142142714284,0.675,0.677,0.67605,0.676,0.0005894913061275802,0.012,0.012,0.012000000000000002,0.012,1.734723475976807e-18,32,16,4096,36864,256128,False,912,2
0.044,0.056,0.053238095238095244,0.054,0.002201833908894647,0.02,0.021,0.020500000000000004,0.0205,0.0005000000000000004,0.153,0.154,0.15375,0.154,0.0004330127018922198,0.013000000000000001,0.014,0.013550000000000003,0.014,0.0004974937185533095,0.09,0.091,0.09045,0.09,0.0004974937185533104,0.021,0.021,0.021000000000000005,0.021,3.469446951953614e-18,0.719,0.721,0.7202000000000001,0.72,0.0005099019513592789,0.056,0.056,0.05600000000000001,0.056,6.938893903907228e-18,0.666,0.667,0.6661000000000001,0.666,0.0003000000000000003,0.011,0.012,0.011700000000000002,0.012,0.0004582575694955844,32,16,4096,36864,256128,False,904,2
0.047,0.058,0.05604761904761905,0.057,0.0021486693662244724,0.022,0.022,0.022000000000000002,0.022,3.469446951953614e-18,0.17200000000000001,0.17300000000000001,0.17240000000000003,0.17200000000000001,0.0004898979485566361,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.082,0.083,0.08275,0.083,0.0004330127018922198,0.022,0.023,0.022950000000000005,0.023,0.00021794494717703385,0.655,0.656,0.6550499999999999,0.655,0.00021794494717703385,0.058,0.059000000000000004,0.0588,0.059000000000000004,0.0004000000000000003,0.728,0.731,0.7289499999999999,0.729,0.0006689544080129832,0.013000000000000001,0.014,0.01395,0.014,0.0002179449471770335,32,16,4096,36864,256128,False,896,2
0.047,0.056,0.05476190476190477,0.055,0.0017969487870584007,0.022,0.023,0.0221,0.022,0.00030000000000000024,0.171,0.17300000000000001,0.17210000000000003,0.17200000000000001,0.00043588989435406776,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.082,0.083,0.08295,0.083,0.00021794494717703385,0.022,0.023,0.022850000000000002,0.023,0.00035707142142714284,0.656,0.657,0.65695,0.657,0.00021794494717703385,0.058,0.059000000000000004,0.058100000000000006,0.058,0.00030000000000000024,0.729,0.731,0.7299,0.73,0.0006244997998398404,0.013000000000000001,0.014,0.013550000000000003,0.014,0.0004974937185533095,32,16,4096,36864,256128,False,888,2
0.047,0.055,0.05433333333333333,0.055,0.001699673171197595,0.022,0.022,0.022000000000000002,0.022,3.469446951953614e-18,0.17200000000000001,0.17400000000000002,0.17290000000000003,0.17300000000000001,0.0006244997998398404,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.083,0.084,0.08305,0.083,0.00021794494717703385,0.022,0.023,0.022950000000000005,0.023,0.00021794494717703385,0.656,0.657,0.6563000000000001,0.656,0.00045825756949558437,0.057,0.058,0.057950000000000015,0.058,0.00021794494717703385,0.73,0.731,0.7305999999999999,0.731,0.000489897948556636,0.013000000000000001,0.014,0.013500000000000003,0.013500000000000002,0.0004999999999999995,32,16,4096,36864,256128,False,880,2
0.047,0.056,0.0541904761904762,0.054,0.0017076591501943915,0.021,0.022,0.021950000000000004,0.022,0.0002179449471770331,0.171,0.17300000000000001,0.17200000000000004,0.17200000000000001,0.0005477225575051665,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.081,0.082,0.0819,0.082,0.00030000000000000024,0.022,0.023,0.022650000000000003,0.023,0.0004769696007084733,0.656,0.657,0.65685,0.657,0.0003570714214271428,0.057,0.058,0.0571,0.057,0.0003000000000000003,0.728,0.731,0.7293999999999999,0.729,0.0006633249580710806,0.013000000000000001,0.014,0.013150000000000004,0.013000000000000001,0.00035707142142714214,32,16,4096,36864,256128,False,872,2
0.046,0.056,0.054333333333333345,0.055,0.001984063491047587,0.02,0.021,0.020150000000000005,0.02,0.00035707142142714284,0.17200000000000001,0.17300000000000001,0.17265000000000003,0.17300000000000001,0.00047696960070847325,0.013000000000000001,0.014,0.013350000000000004,0.013000000000000001,0.0004769696007084724,0.083,0.083,0.08299999999999999,0.083,1.3877787807814457e-17,0.021,0.022,0.021150000000000002,0.021,0.0003570714214271416,0.656,0.657,0.6562000000000001,0.656,0.00040000000000000034,0.057,0.057,0.056999999999999995,0.057,6.938893903907228e-18,0.728,0.731,0.7295499999999999,0.73,0.0007399324293474377,0.013000000000000001,0.014,0.013200000000000003,0.013000000000000001,0.00039999999999999964,32,16,4096,36864,256128,False,864,2
0.045,0.055,0.05319047619047619,0.054,0.001917812434819264,0.02,0.021,0.020250000000000004,0.02,0.00043301270189221973,0.171,0.17300000000000001,0.1715,0.171,0.0006708203932499375,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.082,0.082,0.08200000000000002,0.082,1.3877787807814457e-17,0.021,0.021,0.021000000000000005,0.021,3.469446951953614e-18,0.656,0.657,0.6567500000000001,0.657,0.0004330127018922197,0.056,0.056,0.05600000000000001,0.056,6.938893903907228e-18,0.727,0.73,0.72905,0.729,0.0007399324293474377,0.013000000000000001,0.014,0.013050000000000003,0.013000000000000001,0.00021794494717703353,32,16,4096,36864,256128,False,856,2
